2014-08-07 11:22:56 -- Set ruoxCoefsHigh to (-0.31994119999999998, 5.74884e-08, -8.8408999999999999e-11)
2014-08-07 11:22:56 -- Set ruoxCoefsLow to (-0.77127000000000001, 0.00010068000000000001, -1.072e-09)
2014-08-07 11:22:56 -- Set highTempRuoxCurve to <function <lambda> at 0x033CBB70>
2014-08-07 11:22:56 -- Set lowTempRuoxCurve to <function <lambda> at 0x033CBDB0>
2014-08-07 11:22:56 -- Set voltToResCalibs to (0.26000000000000001, 26.030000000000001, 37.5, 30.0, 10.0, 26.530000000000001)
2014-08-07 11:22:56 -- Set resistanceCutoff to 1725.78
2014-08-07 11:22:56 -- Set ruoxChannel to 3
2014-08-07 11:22:56 -- Set PIDintLimit to 0.4
2014-08-07 11:22:56 -- Set voltageStepUp to 0.004
2014-08-07 11:22:56 -- Set loglimit to 20
2014-08-07 11:22:56 -- Set autoRecord to True
2014-08-07 11:22:56 -- Set recordingTemp to 250
2014-08-07 11:22:56 -- Set cooldownLimit to 3.9
2014-08-07 11:22:56 -- Set switchPosition to 5
2014-08-07 11:22:56 -- Set quenchLimit to 4.0
2014-08-07 11:22:56 -- Set PIDsetTemp to 0.1
2014-08-07 11:22:56 -- Set PIDcd to 25
2014-08-07 11:22:56 -- Set PIDstepTimeout to 5
2014-08-07 11:22:56 -- Set autoControl to False
2014-08-07 11:22:56 -- Set fieldWaitTime to 45
2014-08-07 11:22:56 -- Set ruoxInterpolation to <scipy.interpolate.fitpack2.InterpolatedUnivariateSpline object at 0x033D0FD0>
2014-08-07 11:22:56 -- Set useRuoxInterpolation to True
2014-08-07 11:22:56 -- Set targetCurrent to 8.0
2014-08-07 11:22:56 -- Set rampWaitTime to 0.2
2014-08-07 11:22:56 -- Set PIDci to 0.4
2014-08-07 11:22:56 -- Set PIDcp to 1.0
2014-08-07 11:22:56 -- Set recordTemp to False
2014-08-07 11:22:56 -- Set voltageLimit to 0.14
2014-08-07 11:22:56 -- Set lockinCurrent to 1e-09
2014-08-07 11:22:56 -- Set maxCurrent to 9.0
2014-08-07 11:22:56 -- Set tempRecordDelay to 10
2014-08-07 11:22:56 -- Set voltageStepDown to 0.004
2014-08-07 11:22:56 -- Initialization completed. Beginning cycle.
2014-08-07 11:22:56 -- cycled
2014-08-07 11:22:56 -- Set alive to True
2014-08-07 11:22:56 -- Now cycling.
2014-08-07 11:22:57 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:05 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:07 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:09 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:12 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:14 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:16 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:18 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:20 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:22 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:24 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:26 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:28 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:30 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:32 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:34 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:36 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:38 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:40 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:42 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:44 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:48 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:50 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:52 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:54 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:56 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:24:58 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:00 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:02 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:04 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:06 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:08 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:10 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:12 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:14 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:16 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:18 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:20 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:22 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:24 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:26 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:28 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:30 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:32 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:34 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:36 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:38 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:40 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:42 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:44 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:48 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:50 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:52 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:54 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:56 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:25:58 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:00 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:02 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:04 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:06 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:08 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:10 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:12 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:14 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:16 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:18 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:20 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:22 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:24 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:26 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:28 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:30 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:32 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:34 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:36 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:38 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:40 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:42 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:44 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:48 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:50 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:52 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:26:59 -- Set ruoxCoefsHigh to (-0.31994119999999998, 5.74884e-08, -8.8408999999999999e-11)
2014-08-07 11:26:59 -- Set ruoxCoefsLow to (-0.77127000000000001, 0.00010068000000000001, -1.072e-09)
2014-08-07 11:26:59 -- Set highTempRuoxCurve to <function <lambda> at 0x0322EB70>
2014-08-07 11:26:59 -- Set lowTempRuoxCurve to <function <lambda> at 0x0322EDB0>
2014-08-07 11:26:59 -- Set voltToResCalibs to (0.26000000000000001, 26.030000000000001, 37.5, 30.0, 10.0, 26.530000000000001)
2014-08-07 11:26:59 -- Set resistanceCutoff to 1725.78
2014-08-07 11:26:59 -- Set ruoxChannel to 3
2014-08-07 11:26:59 -- Set PIDintLimit to 0.4
2014-08-07 11:26:59 -- Set voltageStepUp to 0.004
2014-08-07 11:26:59 -- Set loglimit to 20
2014-08-07 11:26:59 -- Set autoRecord to True
2014-08-07 11:26:59 -- Set recordingTemp to 250
2014-08-07 11:26:59 -- Set cooldownLimit to 3.9
2014-08-07 11:26:59 -- Set switchPosition to 5
2014-08-07 11:26:59 -- Set ruoxInterpolation to <scipy.interpolate.fitpack2.InterpolatedUnivariateSpline object at 0x0335E530>
2014-08-07 11:26:59 -- Set useRuoxInterpolation to True
2014-08-07 11:26:59 -- Set quenchLimit to 4.0
2014-08-07 11:26:59 -- Set PIDsetTemp to 0.1
2014-08-07 11:26:59 -- Set PIDcd to 25
2014-08-07 11:26:59 -- Set PIDstepTimeout to 5
2014-08-07 11:26:59 -- Set autoControl to False
2014-08-07 11:26:59 -- Set fieldWaitTime to 45
2014-08-07 11:26:59 -- Set targetCurrent to 8.0
2014-08-07 11:26:59 -- Set rampWaitTime to 0.2
2014-08-07 11:26:59 -- Set PIDci to 0.4
2014-08-07 11:26:59 -- Set PIDcp to 1.0
2014-08-07 11:26:59 -- Set recordTemp to False
2014-08-07 11:26:59 -- Set voltageLimit to 0.14
2014-08-07 11:26:59 -- Set lockinCurrent to 1e-09
2014-08-07 11:26:59 -- Set maxCurrent to 9.0
2014-08-07 11:26:59 -- Set tempRecordDelay to 10
2014-08-07 11:26:59 -- Set voltageStepDown to 0.004
2014-08-07 11:26:59 -- Initialization completed. Beginning cycle.
2014-08-07 11:26:59 -- cycled
2014-08-07 11:27:00 -- Set alive to True
2014-08-07 11:27:00 -- Now cycling.
2014-08-07 11:27:01 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:27:01 -- None
2014-08-07 11:27:03 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:27:03 -- None
2014-08-07 11:27:05 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:27:05 -- None
2014-08-07 11:28:07 -- Set ruoxCoefsHigh to (-0.31994119999999998, 5.74884e-08, -8.8408999999999999e-11)
2014-08-07 11:28:07 -- Set ruoxCoefsLow to (-0.77127000000000001, 0.00010068000000000001, -1.072e-09)
2014-08-07 11:28:07 -- Set highTempRuoxCurve to <function <lambda> at 0x03327B70>
2014-08-07 11:28:07 -- Set lowTempRuoxCurve to <function <lambda> at 0x03327DB0>
2014-08-07 11:28:07 -- Set voltToResCalibs to (0.26000000000000001, 26.030000000000001, 37.5, 30.0, 10.0, 26.530000000000001)
2014-08-07 11:28:07 -- Set resistanceCutoff to 1725.78
2014-08-07 11:28:07 -- Set ruoxChannel to 3
2014-08-07 11:28:08 -- Set PIDintLimit to 0.4
2014-08-07 11:28:08 -- Set voltageStepUp to 0.004
2014-08-07 11:28:08 -- Set ruoxInterpolation to <scipy.interpolate.fitpack2.InterpolatedUnivariateSpline object at 0x03473390>
2014-08-07 11:28:08 -- Set useRuoxInterpolation to True
2014-08-07 11:28:08 -- Set loglimit to 20
2014-08-07 11:28:08 -- Set autoRecord to True
2014-08-07 11:28:08 -- Set recordingTemp to 250
2014-08-07 11:28:08 -- Set cooldownLimit to 3.9
2014-08-07 11:28:08 -- Set switchPosition to 5
2014-08-07 11:28:08 -- Set quenchLimit to 4.0
2014-08-07 11:28:08 -- Set PIDsetTemp to 0.1
2014-08-07 11:28:08 -- Set PIDcd to 25
2014-08-07 11:28:08 -- Set PIDstepTimeout to 5
2014-08-07 11:28:08 -- Set autoControl to False
2014-08-07 11:28:08 -- Set fieldWaitTime to 45
2014-08-07 11:28:08 -- Set targetCurrent to 8.0
2014-08-07 11:28:08 -- Set rampWaitTime to 0.2
2014-08-07 11:28:08 -- Set PIDci to 0.4
2014-08-07 11:28:08 -- Set PIDcp to 1.0
2014-08-07 11:28:08 -- Set recordTemp to False
2014-08-07 11:28:08 -- Set voltageLimit to 0.14
2014-08-07 11:28:08 -- Set lockinCurrent to 1e-09
2014-08-07 11:28:08 -- Set maxCurrent to 9.0
2014-08-07 11:28:08 -- Set tempRecordDelay to 10
2014-08-07 11:28:08 -- Set voltageStepDown to 0.004
2014-08-07 11:28:08 -- Initialization completed. Beginning cycle.
2014-08-07 11:28:08 -- cycled
2014-08-07 11:28:08 -- Set alive to True
2014-08-07 11:28:08 -- Now cycling.
2014-08-07 11:28:09 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:09 -- None
2014-08-07 11:28:11 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:11 -- None
2014-08-07 11:28:13 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:13 -- None
2014-08-07 11:28:15 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:15 -- None
2014-08-07 11:28:17 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:17 -- None
2014-08-07 11:28:19 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:19 -- None
2014-08-07 11:28:21 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:21 -- None
2014-08-07 11:28:23 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:23 -- None
2014-08-07 11:28:25 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:25 -- None
2014-08-07 11:28:27 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:27 -- None
2014-08-07 11:28:29 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:29 -- None
2014-08-07 11:28:31 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:31 -- None
2014-08-07 11:28:33 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:33 -- None
2014-08-07 11:28:35 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:35 -- None
2014-08-07 11:28:37 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:37 -- None
2014-08-07 11:28:39 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:39 -- None
2014-08-07 11:28:41 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:41 -- None
2014-08-07 11:28:43 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:43 -- None
2014-08-07 11:28:45 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:45 -- None
2014-08-07 11:28:47 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:47 -- None
2014-08-07 11:28:49 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:49 -- None
2014-08-07 11:28:51 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:51 -- None
2014-08-07 11:28:53 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:53 -- None
2014-08-07 11:28:55 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:55 -- None
2014-08-07 11:28:57 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:57 -- None
2014-08-07 11:28:59 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:28:59 -- None
2014-08-07 11:29:01 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:01 -- None
2014-08-07 11:29:03 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:03 -- None
2014-08-07 11:29:05 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:05 -- None
2014-08-07 11:29:07 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:07 -- None
2014-08-07 11:29:09 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:09 -- None
2014-08-07 11:29:11 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:11 -- None
2014-08-07 11:29:13 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:13 -- None
2014-08-07 11:29:15 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:15 -- None
2014-08-07 11:29:17 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:17 -- None
2014-08-07 11:29:19 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:19 -- None
2014-08-07 11:29:21 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:21 -- None
2014-08-07 11:29:23 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:23 -- None
2014-08-07 11:29:25 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:25 -- None
2014-08-07 11:29:27 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:27 -- None
2014-08-07 11:29:29 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:29 -- None
2014-08-07 11:29:31 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:31 -- None
2014-08-07 11:29:33 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:33 -- None
2014-08-07 11:29:35 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:35 -- None
2014-08-07 11:29:37 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:37 -- None
2014-08-07 11:29:39 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:39 -- None
2014-08-07 11:29:41 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:41 -- None
2014-08-07 11:29:43 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:44 -- None
2014-08-07 11:29:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:46 -- None
2014-08-07 11:29:48 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 11:29:48 -- None
2014-08-07 11:31:37 -- Set ruoxCoefsHigh to (-0.31994119999999998, 5.74884e-08, -8.8408999999999999e-11)
2014-08-07 11:31:37 -- Set ruoxCoefsLow to (-0.77127000000000001, 0.00010068000000000001, -1.072e-09)
2014-08-07 11:31:37 -- Set highTempRuoxCurve to <function <lambda> at 0x03362B70>
2014-08-07 11:31:37 -- Set lowTempRuoxCurve to <function <lambda> at 0x03362DB0>
2014-08-07 11:31:37 -- Set voltToResCalibs to (0.26000000000000001, 26.030000000000001, 37.5, 30.0, 10.0, 26.530000000000001)
2014-08-07 11:31:37 -- Set resistanceCutoff to 1725.78
2014-08-07 11:31:37 -- Set ruoxChannel to 3
2014-08-07 11:31:37 -- Set PIDintLimit to 0.4
2014-08-07 11:31:37 -- Set voltageStepUp to 0.004
2014-08-07 11:31:37 -- Set ruoxInterpolation to <scipy.interpolate.fitpack2.InterpolatedUnivariateSpline object at 0x034B0390>
2014-08-07 11:31:37 -- Set useRuoxInterpolation to True
2014-08-07 11:31:37 -- Set loglimit to 20
2014-08-07 11:31:37 -- Set autoRecord to True
2014-08-07 11:31:37 -- Set recordingTemp to 250
2014-08-07 11:31:37 -- Set cooldownLimit to 3.9 K
2014-08-07 11:31:37 -- Set switchPosition to 5
2014-08-07 11:31:37 -- Set quenchLimit to 4.0
2014-08-07 11:31:37 -- Set PIDsetTemp to 0.1
2014-08-07 11:31:37 -- Set PIDcd to 25
2014-08-07 11:31:37 -- Set PIDstepTimeout to 5
2014-08-07 11:31:37 -- Set autoControl to False
2014-08-07 11:31:37 -- Set fieldWaitTime to 45
2014-08-07 11:31:37 -- Set targetCurrent to 8.0
2014-08-07 11:31:37 -- Set rampWaitTime to 0.2
2014-08-07 11:31:37 -- Set PIDci to 0.4
2014-08-07 11:31:37 -- Set PIDcp to 1.0
2014-08-07 11:31:37 -- Set recordTemp to False
2014-08-07 11:31:37 -- Set voltageLimit to 0.14
2014-08-07 11:31:37 -- Set lockinCurrent to 1e-09
2014-08-07 11:31:37 -- Set maxCurrent to 9.0
2014-08-07 11:31:37 -- Set tempRecordDelay to 10
2014-08-07 11:31:37 -- Set voltageStepDown to 0.004
2014-08-07 11:31:37 -- Initialization completed. Beginning cycle.
2014-08-07 11:31:37 -- cycled
2014-08-07 11:31:37 -- Set alive to True
2014-08-07 11:31:37 -- Now cycling.
2014-08-07 11:31:38 -- ADR victor status is now: ready
2014-08-07 11:31:38 -- Set PIDloopCount to 0
2014-08-07 11:32:08 -- Set ruoxCoefsHigh to (-0.31994119999999998, 5.74884e-08, -8.8408999999999999e-11)
2014-08-07 11:32:08 -- Set ruoxCoefsLow to (-0.77127000000000001, 0.00010068000000000001, -1.072e-09)
2014-08-07 11:32:08 -- Set highTempRuoxCurve to <function <lambda> at 0x0344BB70>
2014-08-07 11:32:08 -- Set lowTempRuoxCurve to <function <lambda> at 0x0344BDB0>
2014-08-07 11:32:08 -- Set voltToResCalibs to (0.26000000000000001, 26.030000000000001, 37.5, 30.0, 10.0, 26.530000000000001)
2014-08-07 11:32:08 -- Set resistanceCutoff to 1725.78
2014-08-07 11:32:08 -- Set ruoxChannel to 3
2014-08-07 11:32:08 -- Set PIDintLimit to 0.4
2014-08-07 11:32:08 -- Set voltageStepUp to 0.004
2014-08-07 11:32:08 -- Set ruoxInterpolation to <scipy.interpolate.fitpack2.InterpolatedUnivariateSpline object at 0x03583330>
2014-08-07 11:32:08 -- Set useRuoxInterpolation to True
2014-08-07 11:32:08 -- Set loglimit to 20
2014-08-07 11:32:08 -- Set autoRecord to True
2014-08-07 11:32:08 -- Set recordingTemp to 250
2014-08-07 11:32:08 -- Set cooldownLimit to 3.9 K
2014-08-07 11:32:08 -- Set switchPosition to 5
2014-08-07 11:32:08 -- Set quenchLimit to 4.0
2014-08-07 11:32:08 -- Set PIDsetTemp to 0.1
2014-08-07 11:32:08 -- Set PIDcd to 25
